region,time,GDP,emissions
A,0,240.0,0.0
A,1,244.8,78.54
A,2,249.696,80.11080000000001
A,3,254.68992,81.713016
A,4,259.783722,83.347277
A,5,264.97939199999996,85.0142216
A,6,270.278978,86.7145056
A,7,275.684563,88.4487969
A,8,281.198254,90.21777300000001
A,9,286.82222,92.0221286
A,10,292.55865800000004,93.8625696
B,0,250.0,0.0
B,1,255.0,83.64
B,2,260.1,85.31280000000001
B,3,265.302,87.019056
B,4,270.608044,88.759438
B,5,276.02020000000005,90.5346256
B,6,281.54060300000003,92.34531810000001
B,7,287.17142,94.1922254
B,8,292.914847,96.0760695
B,9,298.773147,97.99759209999999
B,10,304.748607,99.95754409999999
C,0,260.0,0.0
C,1,265.20000000000005,87.72
C,2,270.504,89.4744
C,3,275.91408,91.26388800000001
C,4,281.432365,93.0891663
C,5,287.061008,94.9509488
C,6,292.802229,96.8499687
C,7,298.658277,98.7869681
C,8,304.631437,100.7627051
C,9,310.72407,102.777961
C,10,316.938549,104.83352070000001
